Vuln ID,Rule ID,STIG ID,Rule Title,Discussion,Check Content,Fix Text
V-38450,SV-50250r1_rule,RHEL-06-000039,The /etc/passwd file must be owned by root.,The '/etc/passwd' file contains information about the users that are configured on the system. Protection of this file is critical for system security.,"To check the ownership of '/etc/passwd', run the command: $ ls -l /etc/passwdIf properly configured, the output should indicate the following owner: 'root' If it does not, this is a finding.","To properly set the owner of '/etc/passwd', run the command: # chown root /etc/passwd"
V-38451,SV-50251r1_rule,RHEL-06-000040,The /etc/passwd file must be group-owned by root.,The '/etc/passwd' file contains information about the users that are configured on the system. Protection of this file is critical for system security.,"To check the group ownership of '/etc/passwd', run the command: $ ls -l /etc/passwdIf properly configured, the output should indicate the following group-owner. 'root' If it does not, this is a finding.","To properly set the group owner of '/etc/passwd', run the command: # chgrp root /etc/passwd"
V-38452,SV-50252r1_rule,RHEL-06-000518,The system package management tool must verify permissions on all files and directories associated with packages.,Permissions on system binaries and configuration files that are too generous could allow an unauthorized user to gain privileges that they should not have. The permissions set by the vendor should be maintained. Any deviations from this baseline should be investigated.,"The following command will list which files and directories on the system have permissions different from what is expected by the RPM database: # rpm -Va  | grep '^.M'If there is any output, for each file or directory found, find the associated RPM package and compare the RPM-expected permissions with the actual permissions on the file or directory:# rpm -qf [file or directory name]# rpm -q --queryformat '[%{FILENAMES} %{FILEMODES:perms}\n]' [package] | grep  [filename]# ls -lL [filename]If the existing permissions are more permissive than those expected by RPM, this is a finding.",The RPM package management system can restore file access permissions of package files and directories. The following command will update permissions on files and directories with permissions different from what is expected by the RPM database: # rpm --setperms [package]
V-38453,SV-50253r1_rule,RHEL-06-000517,The system package management tool must verify group-ownership on all files and directories associated with packages.,Group-ownership of system binaries and configuration files that is incorrect could allow an unauthorized user to gain privileges that they should not have. The group-ownership set by the vendor should be maintained. Any deviations from this baseline should be investigated.,"The following command will list which files on the system have group-ownership different from what is expected by the RPM database: # rpm -Va | grep '^......G'If there is output, this is a finding.",The RPM package management system can restore group-ownership of the package files and directories. The following command will update files and directories with group-ownership different from what is expected by the RPM database: # rpm -qf [file or directory name]# rpm --setugids [package]
V-38454,SV-50254r1_rule,RHEL-06-000516,The system package management tool must verify ownership on all files and directories associated with packages.,Ownership of system binaries and configuration files that is incorrect could allow an unauthorized user to gain privileges that they should not have. The ownership set by the vendor should be maintained. Any deviations from this baseline should be investigated.,"The following command will list which files on the system have ownership different from what is expected by the RPM database: # rpm -Va | grep '^.....U'If there is output, this is a finding.",The RPM package management system can restore ownership of package files and directories. The following command will update files and directories with ownership different from what is expected by the RPM database: # rpm -qf [file or directory name]# rpm --setugids [package]
V-38455,SV-50255r1_rule,RHEL-06-000001,The system must use a separate file system for /tmp.,"The '/tmp' partition is used as temporary storage by many programs. Placing '/tmp' in its own partition enables the setting of more restrictive mount options, which can help protect programs which use it.","Run the following command to determine if '/tmp' is on its own partition or logical volume: $ mount | grep 'on /tmp 'If '/tmp' has its own partition or volume group, a line will be returned. If no line is returned, this is a finding.","The '/tmp' directory is a world-writable directory used for temporary file storage. Ensure it has its own partition or logical volume at installation time, or migrate it using LVM."
V-38456,SV-50256r1_rule,RHEL-06-000002,The system must use a separate file system for /var.,"Ensuring that '/var' is mounted on its own partition enables the setting of more restrictive mount options. This helps protect system services such as daemons or other programs which use it. It is not uncommon for the '/var' directory to contain world-writable directories, installed by other software packages.","Run the following command to determine if '/var' is on its own partition or logical volume: $ mount | grep 'on /var 'If '/var' has its own partition or volume group, a line will be returned. If no line is returned, this is a finding.","The '/var' directory is used by daemons and other system services to store frequently-changing data. Ensure that '/var' has its own partition or logical volume at installation time, or migrate it using LVM."
V-38457,SV-50257r1_rule,RHEL-06-000041,The /etc/passwd file must have mode 0644 or less permissive.,"If the '/etc/passwd' file is writable by a group-owner or the world the risk of its compromise is increased. The file contains the list of accounts on the system and associated information, and protection of this file is critical for system security.","To check the permissions of '/etc/passwd', run the command: $ ls -l /etc/passwdIf properly configured, the output should indicate the following permissions: '-rw-r--r--' If it does not, this is a finding.","To properly set the permissions of '/etc/passwd', run the command: # chmod 0644 /etc/passwd"
V-38458,SV-50258r1_rule,RHEL-06-000042,The /etc/group file must be owned by root.,The '/etc/group' file contains information regarding groups that are configured on the system. Protection of this file is important for system security.,"To check the ownership of '/etc/group', run the command: $ ls -l /etc/groupIf properly configured, the output should indicate the following owner: 'root' If it does not, this is a finding.","To properly set the owner of '/etc/group', run the command: # chown root /etc/group"
V-38459,SV-50259r1_rule,RHEL-06-000043,The /etc/group file must be group-owned by root.,The '/etc/group' file contains information regarding groups that are configured on the system. Protection of this file is important for system security.,"To check the group ownership of '/etc/group', run the command: $ ls -l /etc/groupIf properly configured, the output should indicate the following group-owner. 'root' If it does not, this is a finding.","To properly set the group owner of '/etc/group', run the command: # chgrp root /etc/group"
V-38460,SV-50260r1_rule,RHEL-06-000515,The NFS server must not have the all_squash option enabled.,"The 'all_squash' option maps all client requests to a single anonymous uid/gid on the NFS server, negating the ability to track file access by user ID.","If the NFS server is read-only, in support of unrestricted access to organizational content, this is not applicable.The related 'root_squash' option provides protection against remote administrator-level access to NFS server content.  Its use is not a finding.To verify the 'all_squash' option has been disabled, run the following command:# grep all_squash /etc/exportsIf there is output, this is a finding.",Remove any instances of the 'all_squash' option from the file '/etc/exports'.  Restart the NFS daemon for the changes to take effect.# service nfs restart
V-38461,SV-50261r1_rule,RHEL-06-000044,The /etc/group file must have mode 0644 or less permissive.,The '/etc/group' file contains information regarding groups that are configured on the system. Protection of this file is important for system security.,"To check the permissions of '/etc/group', run the command: $ ls -l /etc/groupIf properly configured, the output should indicate the following permissions: '-rw-r--r--' If it does not, this is a finding.","To properly set the permissions of '/etc/group', run the command: # chmod 644 /etc/group"
V-38462,SV-50262r1_rule,RHEL-06-000514,The RPM package management tool must cryptographically verify the authenticity of all software packages during installation.,Ensuring all packages' cryptographic signatures are valid prior to installation ensures the provenance of the software and protects against malicious tampering.,"Verify RPM signature validation is not disabled:# grep nosignature /etc/rpmrc /usr/lib/rpm/rpmrc /usr/lib/rpm/redhat/rpmrc ~root/.rpmrcIf any configuration is found, this is a finding.",Edit the RPM configuration files containing the 'nosignature' option and remove the option.
V-38463,SV-50263r1_rule,RHEL-06-000003,The system must use a separate file system for /var/log.,Placing '/var/log' in its own partition enables better separation between log files and other files in '/var/'.,"Run the following command to determine if '/var/log' is on its own partition or logical volume: $ mount | grep 'on /var/log 'If '/var/log' has its own partition or volume group, a line will be returned. If no line is returned, this is a finding.","System logs are stored in the '/var/log' directory. Ensure that it has its own partition or logical volume at installation time, or migrate it using LVM."
V-38464,SV-50264r1_rule,RHEL-06-000511,The audit system must take appropriate action when there are disk errors on the audit storage volume.,Taking appropriate action in case of disk errors will minimize the possibility of losing audit records.,"Inspect '/etc/audit/auditd.conf' and locate the following line to determine if the system is configured to take appropriate action when disk errors occur:# grep disk_error_action /etc/audit/auditd.confdisk_error_action = [ACTION]If the system is configured to 'suspend' when disk errors occur or 'ignore' them, this is a finding.","Edit the file '/etc/audit/auditd.conf'. Modify the following line, substituting [ACTION] appropriately: disk_error_action = [ACTION]Possible values for [ACTION] are described in the 'auditd.conf' man page. These include: 'ignore''syslog''exec''suspend''single''halt'Set this to 'syslog', 'exec', 'single', or 'halt'."
V-38465,SV-50265r1_rule,RHEL-06-000045,Library files must have mode 0755 or less permissive.,Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Restrictive permissions are necessary to protect the integrity of the system.,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: /lib/lib64/usr/lib/usr/lib64Kernel modules, which can be added to the kernel during runtime, are stored in '/lib/modules'. All files in these directories should not be group-writable or world-writable. To find shared libraries that are group-writable or world-writable, run the following command for each directory [DIR] which contains shared libraries: $ find -L [DIR] -perm /022If any of these files are group-writable or world-writable, this is a finding.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: /lib/lib64/usr/lib/usr/lib64If any file in these directories is found to be group-writable or world-writeable correct its permission with the following command: # chmod go-w [FILE]"
V-38466,SV-50266r1_rule,RHEL-06-000046,Library files must be owned by root.,Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Proper ownership is necessary to protect the integrity of the system.,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: /lib/lib64/usr/lib/usr/lib64Kernel modules, which can be added to the kernel during runtime, are stored in '/lib/modules'. All files in these directories should not be group-writable or world-writable.  To find shared libraries that are not owned by 'root', run the following command for each directory [DIR] which contains shared libraries: $ find -L [DIR] \! -user rootIf any of these files are not owned by root, this is a finding.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: /lib/lib64/usr/lib/usr/lib64If any file in these directories is found to be owned by a user other than root, correct its ownership with the following command: # chown root [FILE]"
V-38467,SV-50267r1_rule,RHEL-06-000004,The system must use a separate file system for the system audit data path.,"Placing '/var/log/audit' in its own partition enables better separation between audit files and other files, and helps ensure that auditing cannot be halted due to the partition running out of space.","Run the following command to determine if '/var/log/audit' is on its own partition or logical volume: $ mount | grep 'on /var/log/audit 'If '/var/log/audit' has its own partition or volume group, a line will be returned. If no line is returned, this is a finding.","Audit logs are stored in the '/var/log/audit' directory. Ensure that it has its own partition or logical volume at installation time, or migrate it later using LVM. Make absolutely certain that it is large enough to store all audit logs that will be created by the auditing daemon."
V-38468,SV-50268r1_rule,RHEL-06-000510,The audit system must take appropriate action when the audit storage volume is full.,Taking appropriate action in case of a filled audit storage volume will minimize the possibility of losing audit records.,"Inspect '/etc/audit/auditd.conf' and locate the following line to determine if the system is configured to take appropriate action when the audit storage volume is full:# grep disk_full_action /etc/audit/auditd.confdisk_full_action = [ACTION]If the system is configured to 'suspend' when the volume is full or 'ignore' that it is full, this is a finding.","The 'auditd' service can be configured to take an action when disk space starts to run low. Edit the file '/etc/audit/auditd.conf'. Modify the following line, substituting [ACTION] appropriately: disk_full_action = [ACTION]Possible values for [ACTION] are described in the 'auditd.conf' man page. These include: 'ignore''syslog''exec''suspend''single''halt'Set this to 'syslog', 'exec', 'single', or 'halt'."
V-38469,SV-50269r1_rule,RHEL-06-000047,All system command files must have mode 0755 or less permissive.,"System binaries are executed by privileged users, as well as system services, and restrictive permissions are necessary to ensure execution of these programs cannot be co-opted.","System executables are stored in the following directories by default: /bin/usr/bin/usr/local/bin/sbin/usr/sbin/usr/local/sbinAll files in these directories should not be group-writable or world-writable. To find system executables that are group-writable or world-writable, run the following command for each directory [DIR] which contains system executables: $ find -L [DIR] -perm /022If any system executables are found to be group-writable or world-writable, this is a finding.","System executables are stored in the following directories by default: /bin/usr/bin/usr/local/bin/sbin/usr/sbin/usr/local/sbinIf any file in these directories is found to be group-writable or world-writable, correct its permission with the following command: # chmod go-w [FILE]"
V-38470,SV-50270r1_rule,RHEL-06-000005,The audit system must alert designated staff members when the audit storage volume approaches capacity.,Notifying administrators of an impending disk space problem may allow them to take corrective action prior to any disruption.,"Inspect '/etc/audit/auditd.conf' and locate the following line to determine if the system is configured to email the administrator when disk space is starting to run low: # grep space_left_action /etc/audit/auditd.confspace_left_action = emailIf the system is not configured to send an email to the system administrator when disk space is starting to run low, this is a finding.","The 'auditd' service can be configured to take an action when disk space starts to run low. Edit the file '/etc/audit/auditd.conf'. Modify the following line, substituting [ACTION] appropriately: space_left_action = [ACTION]Possible values for [ACTION] are described in the 'auditd.conf' man page. These include: 'ignore''syslog''email''exec''suspend''single''halt'Set this to 'email' (instead of the default, which is 'suspend') as it is more likely to get prompt attention.RHEL-06-000521 ensures that the email generated through the operation 'space_left_action' will be sent to an administrator."
V-38471,SV-50271r1_rule,RHEL-06-000509,The system must forward audit records to the syslog service.,"The auditd service does not include the ability to send audit records to a centralized server for management directly.  It does, however, include an audit event multiplexor plugin (audispd) to pass audit records to the local syslog server.","Verify the audispd plugin is active:# grep active /etc/audisp/plugins.d/syslog.confIf the 'active' setting is missing or set to 'no', this is a finding.",Set the 'active' line in '/etc/audisp/plugins.d/syslog.conf' to 'yes'.  Restart the auditd process.# service auditd restart
V-38472,SV-50272r1_rule,RHEL-06-000048,All system command files must be owned by root.,"System binaries are executed by privileged users as well as system services, and restrictive permissions are necessary to ensure that their execution of these programs cannot be co-opted.","System executables are stored in the following directories by default: /bin/usr/bin/usr/local/bin/sbin/usr/sbin/usr/local/sbinAll files in these directories should not be group-writable or world-writable. To find system executables that are not owned by 'root', run the following command for each directory [DIR] which contains system executables: $ find -L [DIR] \! -user rootIf any system executables are found to not be owned by root, this is a finding.","System executables are stored in the following directories by default: /bin/usr/bin/usr/local/bin/sbin/usr/sbin/usr/local/sbinIf any file [FILE] in these directories is found to be owned by a user other than root, correct its ownership with the following command: # chown root [FILE]"
V-38473,SV-50273r1_rule,RHEL-06-000007,The system must use a separate file system for user home directories.,"Ensuring that '/home' is mounted on its own partition enables the setting of more restrictive mount options, and also helps ensure that users cannot trivially fill partitions used for log or audit data storage.","Run the following command to determine if '/home' is on its own partition or logical volume: $ mount | grep 'on /home 'If '/home' has its own partition or volume group, a line will be returned. If no line is returned, this is a finding.","If user home directories will be stored locally, create a separate partition for '/home' at installation time (or migrate it later using LVM). If '/home' will be mounted from another system such as an NFS server, then creating a separate partition is not necessary at installation time, and the mountpoint can instead be configured later."
V-38474,SV-50274r1_rule,RHEL-06-000508,The system must allow locking of graphical desktop sessions.,The ability to lock graphical desktop sessions manually allows users to easily secure their accounts should they need to depart from their workstations temporarily.,"Verify the keybindings for the Gnome screensaver:# gconftool-2 --direct --config-source xml:readwrite:/etc/gconf/gconf.xml.mandatory --get /apps/gnome_settings_daemon/keybindings/screensaverIf no output is visible, this is a finding.","Run the following command to set the Gnome desktop keybinding for locking the screen:# gconftool-2--direct \--config-source xml:readwrite:/etc/gconf/gconf.xml.mandatory \--type string \--set /apps/gnome_settings_daemon/keybindings/screensaver '<Control><Alt>l'Another keyboard sequence may be substituted for '<Control><Alt>l', which is the default for the Gnome desktop."
V-38475,SV-50275r1_rule,RHEL-06-000050,The system must require passwords to contain a minimum of 14 characters.,"Requiring a minimum password length makes password cracking attacks more difficult by ensuring a larger search space. However, any security benefit from an onerous requirement must be carefully weighed against usability problems, support costs, or counterproductive behavior that may result.While it does not negate the password length requirement, it is preferable to migrate from a password-based authentication scheme to a stronger one based on PKI (public key infrastructure).","To check the minimum password length, run the command: $ grep PASS_MIN_LEN /etc/login.defsThe DoD requirement is '14'. If it is not set to the required value, this is a finding.","To specify password length requirements for new accounts, edit the file '/etc/login.defs' and add or correct the following lines: PASS_MIN_LEN 14The DoD requirement is '14'. If a program consults '/etc/login.defs' and also another PAM module (such as 'pam_cracklib') during a password change operation, then the most restrictive must be satisfied."
V-38476,SV-50276r1_rule,RHEL-06-000008,Vendor-provided cryptographic certificates must be installed to verify the integrity of system software.,This key is necessary to cryptographically verify packages are from Red Hat.,"To ensure that the GPG key is installed, run: $ rpm -q --queryformat '%{SUMMARY}\n' gpg-pubkeyThe command should return the string below: gpg(Red Hat, Inc. (release key <security@redhat.com>)If the Red Hat GPG Key is not installed, this is a finding.","To ensure the system can cryptographically verify base software packages come from Red Hat (and to connect to the Red Hat Network to receive them if desired), the Red Hat GPG key must properly be installed. To ensure the GPG key is installed, run: # rhn_register"
V-38477,SV-50277r1_rule,RHEL-06-000051,Users must not be able to change passwords more than once every 24 hours.,Setting the minimum password age protects against users cycling back to a favorite password after satisfying the password reuse requirement.,"To check the minimum password age, run the command: $ grep PASS_MIN_DAYS /etc/login.defsThe DoD requirement is 1. If it is not set to the required value, this is a finding.","To specify password minimum age for new accounts, edit the file '/etc/login.defs' and add or correct the following line, replacing [DAYS] appropriately: PASS_MIN_DAYS [DAYS]A value of 1 day is considered sufficient for many environments. The DoD requirement is 1."
V-38478,SV-50278r1_rule,RHEL-06-000009,"The Red Hat Network Service (rhnsd) service must not be running, unless using RHN or an RHN Satellite.","Although systems management and patching is extremely important to system security, management by a system outside the enterprise enclave is not desirable for some environments. However, if the system is being managed by RHN or RHN Satellite Server the 'rhnsd' daemon can remain on.","If the system uses RHN or is an RHN Satellite, this is not applicable.To check that the 'rhnsd' service is disabled in system boot configuration, run the following command: # chkconfig 'rhnsd' --listOutput should indicate the 'rhnsd' service has either not been installed, or has been disabled at all runlevels, as shown in the example below: # chkconfig 'rhnsd' --list'rhnsd' 0:off 1:off 2:off 3:off 4:off 5:off 6:offRun the following command to verify 'rhnsd' is disabled through current runtime configuration: # service rhnsd statusIf the service is disabled the command will return the following output: rhnsd is stoppedIf the service is running, this is a finding.","The Red Hat Network service automatically queries Red Hat Network servers to determine whether there are any actions that should be executed, such as package updates. This only occurs if the system was registered to an RHN server or satellite and managed as such. The 'rhnsd' service can be disabled with the following command: # chkconfig rhnsd off"
V-38479,SV-50279r1_rule,RHEL-06-000053,User passwords must be changed at least every 60 days.,Setting the password maximum age ensures users are required to periodically change their passwords. This could possibly decrease the utility of a stolen password. Requiring shorter password lifetimes increases the risk of users writing down the password in a convenient location subject to physical compromise.,"To check the maximum password age, run the command: $ grep PASS_MAX_DAYS /etc/login.defsThe DoD requirement is 60. If it is not set to the required value, this is a finding.","To specify password maximum age for new accounts, edit the file '/etc/login.defs' and add or correct the following line, replacing [DAYS] appropriately: PASS_MAX_DAYS [DAYS]The DoD requirement is 60."
V-38480,SV-50280r1_rule,RHEL-06-000054,Users must be warned 7 days in advance of password expiration.,Setting the password warning age enables users to make the change at a practical time.,"To check the password warning age, run the command: $ grep PASS_WARN_AGE /etc/login.defsThe DoD requirement is 7. If it is not set to the required value, this is a finding.","To specify how many days prior to password expiration that a warning will be issued to users, edit the file '/etc/login.defs' and add or correct the following line, replacing [DAYS] appropriately: PASS_WARN_AGE [DAYS]The DoD requirement is 7."
V-38481,SV-50281r1_rule,RHEL-06-000011,System security patches and updates must be installed and up-to-date.,Installing software updates is a fundamental mitigation against the exploitation of publicly-known vulnerabilities.,"If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server which provides updates, invoking the following command will indicate if updates are available: # yum check-updateIf the system is not configured to update from one of these sources, run the following command to list when each package was last updated: $ rpm -qa -lastCompare this to Red Hat Security Advisories (RHSA) listed at https://access.redhat.com/security/updates/active/ to determine whether the system is missing applicable security and bugfix  updates. If updates are not installed, this is a finding.","If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server, run the following command to install updates: # yum updateIf the system is not configured to use one of these sources, updates (in the form of RPM packages) can be manually downloaded from the Red Hat Network and installed using 'rpm'."
V-38482,SV-50282r1_rule,RHEL-06-000056,The system must require passwords to contain at least one numeric character.,Requiring digits makes password guessing attacks more difficult by ensuring a larger search space.,"To check how many digits are required in a password, run the following command: $ grep pam_cracklib /etc/pam.d/system-authThe 'dcredit' parameter (as a negative number) will indicate how many digits are required. The DoD requires at least one digit in a password. This would appear as 'dcredit=-1'. If dcredit is not found or not set to the required value, this is a finding.","The pam_cracklib module's 'dcredit' parameter controls requirements for usage of digits in a password. When set to a negative number, any password will be required to contain that many digits. When set to a positive number, pam_cracklib will grant +1 additional length credit for each digit. Add 'dcredit=-1' after pam_cracklib.so to require use of a digit in passwords."
V-38483,SV-50283r1_rule,RHEL-06-000013,The system package management tool must cryptographically verify the authenticity of system software packages during installation.,Ensuring the validity of packages' cryptographic signatures prior to installation ensures the provenance of the software and protects against malicious tampering.,"To determine whether 'yum' is configured to use 'gpgcheck', inspect '/etc/yum.conf' and ensure the following appears in the '[main]' section: gpgcheck=1A value of '1' indicates that 'gpgcheck' is enabled. Absence of a 'gpgcheck' line or a setting of '0' indicates that it is disabled. If GPG checking is not enabled, this is a finding.If the 'yum' system package management tool is not used to update the system, verify with the SA that installed packages are cryptographically signed.","The 'gpgcheck' option should be used to ensure checking of an RPM package's signature always occurs prior to its installation. To configure yum to check package signatures before installing them, ensure the following line appears in '/etc/yum.conf' in the '[main]' section: gpgcheck=1"
V-38484,SV-50285r1_rule,RHEL-06-000507,"The operating system, upon successful logon, must display to the user the date and time of the last logon or access via ssh.","Users need to be aware of activity that occurs regarding their account. Providing users with information regarding the date and time of their last successful login allows the user to determine if any unauthorized activity has occurred and gives them an opportunity to notify administrators.At ssh login, a user must be presented with the last successful login date and time.","Verify the value associated with the 'PrintLastLog' keyword in /etc/ssh/sshd_config:# grep -i PrintLastLog /etc/ssh/sshd_configIf the value is not set to 'yes', this is a finding.  If the 'PrintLastLog' keyword is not present, this is not a finding.","Update the 'PrintLastLog' keyword to 'yes' in /etc/ssh/sshd_config:PrintLastLog yesWhile it is acceptable to remove the keyword entirely since the default action for the SSH daemon is to print the last login date and time, it is preferred to have the value explicitly documented."
V-38485,SV-50286r1_rule,RHEL-06-000506,"The operating system, upon successful logon, must display to the user the date and time of the last logon or access via a local console or tty.","Users need to be aware of activity that occurs regarding their accounts. Providing users with information regarding the date and time of their last successful login allows the user to determine if any unauthorized activity has occurred and gives them an opportunity to notify administrators.At console or tty logon, a user must be presented with the last successful login date and time.  The 'hushlogin' file determines whether this occurs.","Verify there are no 'hushlogin' files active on the system:# ls -l /etc/hushloginsFor each home directory stored in '/etc/passwd':# ls ~<userid>/.hushloginIf there are any 'hushlogin' files on the system, this is a finding.",Remove any 'hushlogin' files from the system:# rm /etc/hushlogins# rm ~<userid>/.hushlogin
V-38486,SV-50287r1_rule,RHEL-06-000505,The operating system must conduct backups of system-level information contained in the information system per organization defined frequency to conduct backups that are consistent with recovery time and recovery point objectives.,"Operating system backup is a critical step in maintaining data assurance and availability. System-level information includes system-state information, operating system and application software, and licenses. Backups must be consistent with organizational recovery time and recovery point objectives.","Ask an administrator if a process exists to back up OS data from the system, including configuration data. If such a process does not exist, this is a finding.",Procedures to back up OS data from the system must be established and executed. The Red Hat operating system provides utilities for automating such a process.  Commercial and open-source products are also available.Implement a process whereby OS data is backed up from the system in accordance with local policies.
